id,image,brix,check,judge
1,bbrix1.JPG,17,,non-ripe
2,bbrix2-1.JPG,20,,half-rotten
3,bbrix2-2.JPG,20,,half-rotten
4,bbrix3.JPG,22,,sweet
5,bbrix4-1.JPG,17,,non-ripe
6,bbrix4-2.JPG,17,,non-ripe
7,bbrix5-1.JPG,19,,non-ripe
8,bbrix5-2.JPG,19,,non-ripe
9,bbrix6-1.JPG,21,,sweet
10,bbrix6-2.JPG,21,,sweet
11,bbrix7.JPG,22,,sweet
12,bbrix8-1.JPG,21,,sweet
13,bbrix8-2.JPG,21,,sweet
14,bbrix9-1.JPG,21,,half-rotten
15,bbrix9-2.JPG,21,,half-rotten
16,bbrix10-1.JPG,22,,sweet
17,bbrix10-2.JPG,22,,sweet
18,bbrix11-1.JPG,21,,sweet
19,bbrix11-2.JPG,21,,sweet
20,bbrix12.JPG,20,n,non-ripe
21,bbrix13.JPG,20,n,non-ripe
22,bbrix14.JPG,20,?,sweet
23,bbrix15.JPG,20,?,sweet
24,bbrix16.JPG,21,n,non-ripe
25,bbrix17.JPG,19,n,sweet
26,bbrix18-1.JPG,21,,half-rotten
27,bbrix18-2.JPG,21,,half-rotten
28,bbrix19.JPG,20,,half-rotten
29,bbrix20.JPG,20,,sweet
30,bbrix21-1.JPG,20,,sweet
31,bbrix21-2.JPG,20,,sweet
32,bbrix22.JPG,,,rotten
33,bbrix23.JPG,,,rotten
34,bbrix24.JPG,,,rotten
35,bbrix25.JPG,,,rotten
36,bbrix26.JPG,,,rotten
37,bbrix27.JPG,,,rotten
38,bbrix28.JPG,,,sweet
39,bbrix29.JPG,,,sweet
40,bbrix30.JPG,,,sweet
41,bbrix31.JPG,,,sweet
42,bbrix32.JPG,,,sweet
43,bbrix33.JPG,,,half-rotten
44,bbrix34.JPG,,,rotten
45,n1.JPG,,,rotten
46,n2.JPG,,,rotten
50,n6.JPG,,,rotten
51,n7.JPG,,,rotten
52,n8.JPG,,,rotten
53,n9.JPG,,,half-rotten
54,n10.JPG,,,non-ripe
55,n11.JPG,,,half-rotten
56,n12.JPG,,,rotten
57,n13.JPG,,,rotten
58,n14.JPG,,,non-ripe
59,n15.JPG,,,non-ripe
60,n16.JPG,,,non-ripe
61,n17.JPG,,,non-ripe
62,n18.JPG,,,non-ripe
63,n19.JPG,,,non-ripe
64,n20.JPG,,,rotten
65,n21.JPG,,,rotten
70,n26.JPG,,,rotten
71,n27.JPG,,,rotten
72,n28.JPG,,,non-ripe
74,n30.JPG,,,non-ripe
75,n31.JPG,,,rotten
89,n45.JPG,,,rotten
90,n46.JPG,,,rotten
91,n47.JPG,,,rotten
92,n48.JPG,,,non-ripe
93,n49.JPG,,,rotten
94,n50.JPG,,,non-ripe
95,n51.JPG,,,non-ripe
96,n52.JPG,,,non-ripe
97,n53.JPG,,,non-ripe
98,n54.JPG,,,non-ripe
